Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
,46,,L16,NQ,,L16,QF,,QF,,,QF,QF,,QF,NQ,P,QF,P,P,P,SF,P,P,P,SF,P,QF,QF,P,L16,QF,P,QF,QF,P,QF,26.65,47.99999999999999,9,0,55.52083333333334,55.52083333333334,15.0,15.0,15
,44,NQ,L16,,NQ,L16,,,,NQ,,NQ,,QF,,,,,NQ,SF,P,P,QF,P,P,P,QF,P,QF,QF,QF,QF,QF,QF,P,QF,QF,29.5,53.9,12,0,54.73098330241187,54.73098330241187,17.0,16.0,16
,45,,,,NQ,NQ,,SF,L16,QF,NQ,L16,NQ,QF,,QF,P,L16,NQ,QF,QF,NQ,P,P,P,P,QF,P,QF,QF,QF,P,QF,QF,P,P,QF,23.54,44.15,11,0,53.31823329558324,53.31823329558324,18.0,17.0,17
,47,,,,,,,,,,,,,,NQ,NQ,P,NQ,NQ,NQ,P,NQ,NQ,L16,L16,P,NQ,P,QF,QF,L16,NQ,QF,QF,QF,QF,QF,25.810000000000002,51.099999999999994,16,0,50.508806262230934,50.508806262230934,19.0,18.0,18
,43,,,,,,,,,,,,,,,,,,,,,,,,L16,P,P,P,P,P,L16,QF,P,P,SF,P,QF,15.55,31.250000000000004,5,0,49.76,49.76,20.0,19.0,19
,29,,,,,,,,,,,,,,,,,NQ,NQ,NQ,L16,NQ,NQ,L16,QF,QF,SF,L16,P,P,P,P,P,P,P,QF,L16,13.55,31.55,12,0,42.94770206022187,42.94770206022187,21.0,20.0,20
,28,QF,QF,QF,SF,L16,QF,QF,L16,SF,SF,QF,SF,SF,SF,QF,P,QF,QF,QF,P,P,QF,L16,QF,QF,SF,P,P,P,P,NQ,P,P,P,QF,L16,13.6,32.0,10,0,42.5,42.5,22.0,21.0,21
,49,,,,,,,NQ,,,NQ,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,QF,5.6,13.549999999999999,3,0,41.32841328413284,41.32841328413284,23.0,22.0,22
,83,,SF,,,QF,,QF,,QF,NQ,L16,QF,,L16,NQ,P,L16,P,P,P,P,P,P,QF,NQ,QF,QF,NQ,QF,L16,NQ,P,P,QF,P,P,13.469999999999999,32.85,9,2,41.00456621004566,41.00456621004566,24.0,23.0,23
,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,SF,L16,7.2,17.65,3,0,40.79320113314448,40.79320113314448,25.0,24.0,24
,39,,,,,,,,,,,,,,,,QF,P,P,P,NQ,P,NQ,NQ,L16,P,NQ,L16,NQ,NQ,L16,QF,QF,L16,P,P,L16,12.099999999999998,32.3,13,0,37.46130030959752,37.46130030959752,27.0,25.0,25
,27,,,,,,,,,,,NQ,,,,,,,,,,NQ,P,L16,NQ,P,P,P,P,NQ,P,NQ,QF,P,QF,QF,L16,11.05,30.65,9,0,36.05220228384992,36.05220228384992,28.0,26.0,26
,37,,,NQ,,NQ,,,,,,,,,,,NQ,NQ,P,P,L16,QF,P,P,L16,P,P,L16,P,P,L16,P,P,L16,P,NQ,L16,7.95,23.8,8,0,33.403361344537814,33.403361344537814,32.0,27.0,27
,82,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,NQ,NQ,P,P,NQ,P,QF,P,P,P,P,QF,L16,NQ,P,P,7.33,23.75,10,2,30.863157894736844,30.863157894736844,33.0,28.0,28
,34,,NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,L16,NQ,P,L16,3.7,12.95,4,0,28.571428571428577,28.571428571428577,36.0,29.0,29
,85,,NQ,,QF,,,,,,QF,,,QF,QF,QF,SF,QF,QF,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,QF,P,P,5.12,18.700000000000003,4,2,27.379679144385022,27.379679144385022,38.0,30.0,30
,86,,,,,,,,,,QF,L16,,QF,QF,QF,SF,QF,QF,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,QF,P,P,5.12,18.700000000000003,4,2,27.379679144385022,27.379679144385022,38.0,30.0,31
,41,,,,,,NQ,,,,,NQ,,,NQ,,QF,NQ,P,P,P,P,NQ,P,L16,P,P,L16,NQ,P,L16,P,P,P,P,P,L16,5.300000000000001,19.650000000000002,6,0,26.97201017811705,26.97201017811705,40.0,32.0,32
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,L16,NQ,P,L16,3.7,14.35,5,0,25.78397212543554,25.78397212543554,41.0,33.0,33
,31,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,QF,P,P,NQ,P,P,NQ,P,L16,NQ,P,L16,5.35,21.549999999999997,7,0,24.825986078886313,24.825986078886313,44.0,34.0,34
,84,,,,,,,,,,,,,,,,,,,,,,,,,QF,NQ,P,NQ,P,P,NQ,P,P,QF,P,P,4.65,19.15,5,2,24.28198433420366,24.28198433420366,46.0,35.0,35
,36,NQ,,NQ,NQ,NQ,,,L16,,,,,,,,NQ,NQ,NQ,P,L16,QF,P,P,L16,P,NQ,P,NQ,P,P,NQ,P,L16,NQ,NQ,L16,5.45,23.25,11,0,23.440860215053764,23.440860215053764,47.0,36.0,36
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,L16,P,P,NQ,1.7,10.5,3,0,16.19047619047619,16.19047619047619,52.0,37.0,37
,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,L16,2.0,12.5,4,0,16.0,16.0,53.0,38.0,38
,26,,,,,,,,,,,,NQ,,,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,P,P,L16,NQ,NQ,L16,3.7,23.500000000000004,17,0,15.744680851063828,15.744680851063828,55.0,39.0,39
,30,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,L16,2.0,14.1,3,0,14.184397163120568,14.184397163120568,59.0,40.0,40
,17,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,L16,P,NQ,P,P,P,P,P,P,NQ,1.1,14.2,4,0,7.746478873239438,7.746478873239438,84.0,41.0,41
,76,NQ,NQ,,NQ,NQ,,,NQ,,,,,,,,,,,NQ,P,P,NQ,P,L16,P,NQ,P,P,P,P,P,NQ,P,P,NQ,P,0.8,14.600000000000001,6,1,5.47945205479452,5.47945205479452,88.0,42.0,42
,11,,,NQ,,NQ,NQ,,NQ,NQ,,NQ,NQ,,NQ,,NQ,NQ,NQ,NQ,NQ,P,NQ,L16,NQ,NQ,NQ,NQ,NQ,P,NQ,NQ,P,NQ,P,P,NQ,0.5,18.2,14,0,2.7472527472527473,2.7472527472527473,91.0,43.0,43
,10,,,NQ,,NQ,NQ,NQ,NQ,NQ,,NQ,NQ,,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,L16,NQ,NQ,NQ,NQ,NQ,P,NQ,NQ,P,NQ,NQ,P,NQ,0.5,19.45,16,0,2.570694087403599,2.570694087403599,93.0,44.0,44
,125,,,,,,NQ,,QF,QF,,L16,,,,,,NQ,SF,P,QF,SF,P,L16,P,P,P,SF,SF,P,QF,SF,P,P,P,P,P,20.14,36.45,8,5,55.25377229080932,0.05525377229080932,16.0,45.0,45
,145,QF,QF,SF,SF,QF,QF,SF,QF,SF,SF,SF,SF,F,L16,QF,P,P,SF,QF,QF,QF,P,SF,NQ,P,P,P,P,P,QF,P,P,P,P,P,P,8.45,21.950000000000003,7,6,38.49658314350796,0.03849658314350796,26.0,46.0,46
,142,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,QF,P,L16,P,QF,P,QF,QF,L16,P,P,P,P,P,P,8.8,25.15,7,6,34.990059642147116,0.03499005964214712,29.0,47.0,47
,40,,,,,NQ,NQ,NQ,NQ,F,F,L16,QF,NQ,L16,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,L16,5.08,15.05,2,0,33.754152823920265,0.03375415282392027,30.0,48.0,48
,120,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,P,P,P,QF,QF,P,L16,NQ,QF,L16,NQ,P,P,P,P,P,8.489999999999998,25.200000000000003,8,5,33.69047619047618,0.03369047619047618,31.0,49.0,49
,122,,,,,,,,,,,,,,,,,L16,NQ,NQ,L16,NQ,P,L16,NQ,NQ,P,QF,NQ,QF,L16,NQ,P,P,P,P,P,7.279999999999999,24.2,12,5,30.08264462809917,0.030082644628099172,34.0,50.0,50
,124,,,,,,QF,,QF,,,QF,QF,,L16,QF,P,L16,QF,P,L16,QF,P,L16,L16,NQ,P,P,NQ,P,L16,QF,P,P,P,P,P,6.5,22.35,9,5,29.082774049217004,0.029082774049217004,35.0,51.0,51
,95,NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L16,P,P,L16,P,P,P,3.0999999999999996,10.9,2,3,28.44036697247706,0.028440366972477062,37.0,52.0,52
,141,,,,NQ,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,L16,QF,P,L16,P,P,P,P,P,P,4.6,18.0,4,6,25.555555555555554,0.025555555555555554,42.0,53.0,53
,123,NQ,,,QF,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,QF,P,QF,P,P,P,P,P,4.6499999999999995,18.45,3,5,25.203252032520325,0.025203252032520326,43.0,54.0,54
,172,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,QF,QF,L16,P,P,P,P,P,P,P,P,P,4.4,18.000000000000004,4,9,24.44444444444444,0.02444444444444444,45.0,55.0,55
,97,,NQ,,QF,NQ,,,,,,,,,,,,,,,,,,,,,,L16,NQ,P,P,P,P,L16,P,P,P,2.8,13.1,3,3,21.374045801526716,0.021374045801526714,48.0,56.0,56
,176,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,NQ,P,QF,P,P,P,P,P,P,P,P,P,3.08,15.65,5,9,19.680511182108624,0.019680511182108625,49.0,57.0,57
,79,NQ,,,NQ,,,SF,,QF,NQ,L16,NQ,QF,,,,L16,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,QF,P,3.0,15.85,2,1,18.927444794952685,0.018927444794952685,50.0,58.0,58
,199,,,,,,,,,NQ,,NQ,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,2.2399999999999998,12.5,1,12,17.919999999999998,0.01792,51.0,59.0,59
,189,,NQ,,,,,,,,,,,,,,,,,,,NQ,P,P,QF,NQ,P,P,P,P,P,P,P,P,P,P,P,2.2399999999999998,14.05,3,11,15.943060498220637,0.015943060498220637,54.0,60.0,60
,162,,,NQ,NQ,NQ,NQ,,NQ,,,,,,,NQ,P,P,NQ,P,L16,P,P,L16,P,P,QF,P,NQ,P,P,P,P,P,P,P,P,2.35,15.350000000000001,5,8,15.30944625407166,0.015309446254071659,56.0,61.0,61
,211,QF,L16,,,QF,,,,,,,,NQ,,,,,,,QF,P,P,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,1.96,13.0,2,13,15.076923076923077,0.015076923076923076,57.0,62.0,62
,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,L16,P,P,P,1.7,11.75,3,3,14.468085106382977,0.014468085106382977,58.0,63.0,63
,175,,,,,,,,L16,,,NQ,NQ,,,,,NQ,P,P,P,P,P,P,L16,P,P,L16,P,P,P,P,P,P,P,P,P,1.9000000000000001,13.600000000000001,2,9,13.970588235294118,0.013970588235294118,60.0,64.0,64
,98,,,,,NQ,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,L16,P,P,P,1.9,13.7,3,3,13.86861313868613,0.01386861313868613,61.0,65.0,65
,195,,,,,,,,,NQ,,,,,L16,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,1.6500000000000001,12.049999999999999,1,11,13.692946058091287,0.013692946058091288,62.0,66.0,66
,144,NQ,L16,,NQ,,NQ,QF,L16,,,NQ,,NQ,,,,L16,P,P,P,P,P,L16,P,P,NQ,P,P,P,L16,P,P,P,P,P,P,1.9,14.15,3,6,13.427561837455828,0.013427561837455828,63.0,67.0,67
,228,,,,,,,,,,,,,QF,,,,,,QF,QF,NQ,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,1.6099999999999999,13.350000000000001,4,14,12.059925093632955,0.012059925093632955,64.0,68.0,68
,210,,,,,,,,,,,,,,QF,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,1.4,11.7,1,13,11.965811965811966,0.011965811965811967,65.0,69.0,69
,212,,,,,,,,,,,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,1.4,11.7,1,13,11.965811965811966,0.011965811965811967,65.0,69.0,70
,192,,,,,,,,,,,,NQ,,,,,,,,,QF,P,P,L16,NQ,P,P,P,P,P,P,P,P,P,P,P,1.55,13.450000000000001,3,11,11.524163568773234,0.011524163568773234,67.0,71.0,71
,108,,,,,L16,,,L16,,,L16,,,,,,,,NQ,P,P,P,P,P,P,QF,P,P,P,P,P,NQ,P,P,P,P,1.6500000000000001,14.35,3,4,11.498257839721255,0.011498257839721256,68.0,72.0,72
,81,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,QF,P,P,P,P,P,P,P,NQ,P,P,1.6500000000000001,14.5,2,2,11.379310344827587,0.011379310344827587,69.0,73.0,73
,99,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,NQ,NQ,L16,P,P,P,1.7,15.15,5,3,11.221122112211221,0.011221122112211221,70.0,74.0,74
,143,,SF,,,QF,,,,QF,NQ,L16,QF,,L16,,,,,,NQ,P,P,P,P,P,P,P,P,P,L16,P,P,P,P,P,P,1.4,12.75,2,6,10.980392156862745,0.010980392156862745,71.0,75.0,75
,107,,,,,L16,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,QF,P,P,NQ,P,P,NQ,P,P,P,P,1.6500000000000001,15.05,4,4,10.963455149501662,0.010963455149501661,72.0,76.0,76
,164,,,,,,,,,,,,,,,,,,,,,,,,,,,L16,NQ,P,P,P,P,P,P,P,P,1.1,10.549999999999999,2,8,10.426540284360192,0.010426540284360191,73.0,77.0,77
,137,,,,,,,,,,,,,,,,,,,,,,,,,,,L16,P,P,NQ,P,P,P,P,P,P,1.1,10.55,2,6,10.42654028436019,0.01042654028436019,74.0,78.0,78
,171,,NQ,,,,,,NQ,,,NQ,,,,NQ,P,NQ,NQ,NQ,L16,P,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,1.3,12.9,4,9,10.077519379844961,0.010077519379844961,75.0,79.0,79
,105,,,,,,,,,,,,,NQ,,NQ,QF,P,P,QF,L16,P,QF,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,1.25,13.65,4,4,9.157509157509157,0.009157509157509156,76.0,80.0,80
,173,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,1.1,12.350000000000001,2,9,8.906882591093117,0.008906882591093117,77.0,81.0,81
,174,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,1.1,12.350000000000001,2,9,8.906882591093117,0.008906882591093117,77.0,81.0,82
,116,,,NQ,,,,,NQ,,,,,,L16,,,L16,NQ,NQ,P,P,NQ,QF,P,P,P,P,NQ,NQ,NQ,NQ,P,P,P,P,P,1.4,15.9,8,5,8.80503144654088,0.00880503144654088,79.0,83.0,83
,209,,,QF,,QF,SF,,SF,NQ,QF,L16,,,L16,SF,P,QF,QF,QF,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,1.1,12.5,3,13,8.8,0.0088,80.0,84.0,84
,207,,,,,,,,,,,,,,L16,,,L16,QF,P,L16,P,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,1.0,12.3,3,13,8.130081300813007,0.008130081300813007,81.0,85.0,85
,235,F,F,F,,SF,,,,,,,,,QF,SF,P,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.96,11.850000000000001,1,16,8.101265822784809,0.008101265822784809,82.0,86.0,86
,236,F,F,F,,SF,,,,,,QF,,,QF,SF,P,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.96,11.850000000000001,1,16,8.101265822784809,0.008101265822784809,82.0,86.0,87
,138,,,,,,,,,NQ,,,NQ,NQ,,,,,,NQ,L16,P,P,P,L16,P,P,P,P,NQ,NQ,P,P,P,P,P,P,1.0,13.65,5,6,7.326007326007327,0.007326007326007327,85.0,88.0,88
,198,,,,,,,,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,0.8,11.65,2,12,6.866952789699571,0.006866952789699571,86.0,89.0,89
,112,,,,,,,,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,NQ,P,P,P,P,0.8,12.5,3,4,6.4,0.0064,87.0,90.0,90
,234,,,,,,,,,,,QF,,,,,,L16,P,P,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.5599999999999999,11.45,1,16,4.890829694323144,0.004890829694323144,89.0,91.0,91
,208,NQ,L16,,NQ,,NQ,,L16,,,NQ,,NQ,,,,L16,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,0.5,11.5,1,13,4.3478260869565215,0.004347826086956522,90.0,92.0,92
,244,,,,,,,,,,,,,NQ,,NQ,QF,P,P,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.30000000000000004,11.25,1,17,2.666666666666667,0.002666666666666667,92.0,93.0,93
,232,,,,,,,,,,,,,,,,,,,,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.2,10.850000000000001,1,16,1.8433179723502304,0.0018433179723502304,94.0,94.0,94
,233,NQ,L16,,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.2,11.15,2,16,1.7937219730941705,0.0017937219730941704,95.0,95.0,95
,5,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,NQ,NQ,NQ,NQ,NQ,P,P,P,NQ,NQ,0.0,16.65,10,0,0.0,0.0,96.0,96.0,96
,113,,,,,,NQ,,NQ,NQ,,,NQ,NQ,NQ,NQ,P,NQ,P,NQ,NQ,P,NQ,NQ,NQ,NQ,P,P,NQ,NQ,NQ,P,NQ,P,P,P,P,0.0,15.350000000000001,10,4,0.0,0.0,96.0,96.0,97
,114,,,,,,,,,,,,NQ,NQ,NQ,NQ,P,NQ,P,NQ,NQ,P,NQ,NQ,NQ,NQ,P,P,NQ,NQ,NQ,P,NQ,P,P,P,P,0.0,15.350000000000001,10,4,0.0,0.0,96.0,96.0,98
,60,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,NQ,P,NQ,NQ,NQ,P,P,P,NQ,P,0.0,14.8,6,1,0.0,0.0,96.0,96.0,99
,23,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,NQ,NQ,P,P,P,P,NQ,0.0,14.7,7,0,0.0,0.0,96.0,96.0,100
,132,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,NQ,NQ,P,P,NQ,P,NQ,NQ,P,P,P,P,P,P,0.0,13.5,7,6,0.0,0.0,96.0,96.0,101
,156,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,NQ,P,NQ,P,P,NQ,NQ,P,P,P,P,P,P,P,0.0,13.399999999999999,7,7,0.0,0.0,96.0,96.0,102
,65,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,NQ,P,P,P,P,NQ,P,0.0,13.399999999999999,7,1,0.0,0.0,96.0,96.0,103
,4,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,NQ,P,P,P,P,P,NQ,0.0,13.2,5,0,0.0,0.0,96.0,96.0,104
,131,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,NQ,NQ,P,P,P,NQ,P,P,NQ,P,P,P,P,P,P,0.0,13.049999999999999,8,6,0.0,0.0,96.0,96.0,105
,126,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,NQ,P,P,P,P,P,P,0.0,12.85,5,6,0.0,0.0,96.0,96.0,106
,0,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,NQ,0.0,12.7,3,0,0.0,0.0,96.0,96.0,107
,21,,,,,,,,L16,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,NQ,0.0,12.7,3,0,0.0,0.0,96.0,96.0,108
,194,,,,,,,NQ,NQ,,,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,12.35,7,11,0.0,0.0,96.0,96.0,109
,170,,NQ,,,,NQ,,,,,,,,,,NQ,P,P,P,P,P,NQ,NQ,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,0.0,12.2,4,9,0.0,0.0,96.0,96.0,110
,90,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,NQ,P,P,P,0.0,12.2,4,3,0.0,0.0,96.0,96.0,111
,166,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,P,P,P,P,P,P,P,P,0.0,12.100000000000001,4,9,0.0,0.0,96.0,96.0,112
,119,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,0.0,11.7,2,5,0.0,0.0,96.0,96.0,113
,191,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.5,3,11,0.0,0.0,96.0,96.0,114
,203,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.5,4,13,0.0,0.0,96.0,96.0,115
,204,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.5,4,13,0.0,0.0,96.0,96.0,116
,150,,NQ,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,0.0,11.45,1,7,0.0,0.0,96.0,96.0,117
,159,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,0.0,11.4,2,8,0.0,0.0,96.0,96.0,118
,182,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,0.0,11.4,3,10,0.0,0.0,96.0,96.0,119
,183,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,0.0,11.4,3,10,0.0,0.0,96.0,96.0,120
,197,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.4,2,12,0.0,0.0,96.0,96.0,121
,186,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,0.0,11.3,2,10,0.0,0.0,96.0,96.0,122
